Ticker
AAPL
ABBV
ABT
AMD
AMZN
BAC
BMY
C
CCL
CSCO
CSX
CVS
F
FCX
GE
GILD
GM
GOOG
HBAN
INTC
JNJ
JPM
KO
META
MO
MRK
MS
MSFT
MU
NVDA
NKE
NEE
ORCL
PCG
PFE
PYPL
QCOM
SBUX
SCHW
SLB
TFC
TJX
TSLA
USB
V
VICI
VTRS
VZ
WFC
WMB
XOM
