Date,Type,Price,Ticker
2006-09-28,Adj Close,95.18145751953125,SPY
2006-09-29,Adj Close,95.1031494140625,SPY
2006-10-02,Adj Close,94.7471923828125,SPY
2006-10-03,Adj Close,94.94650268554688,SPY
2006-10-04,Adj Close,96.05715942382812,SPY
2006-10-05,Adj Close,96.24225616455078,SPY
2006-10-06,Adj Close,96.12126922607422,SPY
2006-10-09,Adj Close,96.17819213867188,SPY
2006-10-10,Adj Close,96.30634307861328,SPY
2006-10-11,Adj Close,96.19246673583984,SPY
2006-10-12,Adj Close,97.02542114257812,SPY
2006-10-13,Adj Close,97.2746353149414,SPY
2006-10-16,Adj Close,97.4240951538086,SPY
2006-10-17,Adj Close,97.11798095703125,SPY
2006-10-18,Adj Close,97.24608612060547,SPY
2006-10-19,Adj Close,97.40277862548828,SPY
2006-10-20,Adj Close,97.4240951538086,SPY
2006-10-23,Adj Close,97.87266540527344,SPY
2006-10-24,Adj Close,98.1645736694336,SPY
2006-10-25,Adj Close,98.49920654296875,SPY
2006-10-26,Adj Close,98.80531311035156,SPY
2006-10-27,Adj Close,98.18594360351562,SPY
2006-10-30,Adj Close,98.11471557617188,SPY
2006-10-31,Adj Close,98.10047149658203,SPY
2006-11-01,Adj Close,97.43836212158203,SPY
2006-11-02,Adj Close,97.38139343261719,SPY
2006-11-03,Adj Close,97.21048736572266,SPY
2006-11-06,Adj Close,98.30697631835938,SPY
2006-11-07,Adj Close,98.68426513671875,SPY
2006-11-08,Adj Close,98.89787292480469,SPY
2006-11-09,Adj Close,98.37814331054688,SPY
2006-11-10,Adj Close,98.42086791992188,SPY
2006-11-13,Adj Close,98.66293334960938,SPY
2006-11-14,Adj Close,99.40335083007812,SPY
2006-11-15,Adj Close,99.68817138671875,SPY
2006-11-16,Adj Close,99.94447326660156,SPY
2006-11-17,Adj Close,99.97293090820312,SPY
2006-11-20,Adj Close,100.02989196777344,SPY
2006-11-21,Adj Close,100.12957000732422,SPY
2006-11-22,Adj Close,100.32892608642578,SPY
2006-11-24,Adj Close,99.92312622070312,SPY
2006-11-27,Adj Close,98.54903411865234,SPY
2006-11-28,Adj Close,98.97620391845703,SPY
2006-11-29,Adj Close,100.00851440429688,SPY
2006-11-30,Adj Close,100.05125427246094,SPY
2006-12-01,Adj Close,99.83058166503906,SPY
2006-12-04,Adj Close,100.59233856201172,SPY
2006-12-05,Adj Close,101.0266342163086,SPY
2006-12-06,Adj Close,100.94120025634766,SPY
2006-12-07,Adj Close,100.49978637695312,SPY
2006-12-08,Adj Close,100.68487548828125,SPY
2006-12-11,Adj Close,100.976806640625,SPY
2006-12-12,Adj Close,100.89844512939453,SPY
2006-12-13,Adj Close,101.00526428222656,SPY
2006-12-14,Adj Close,101.89517974853516,SPY
2006-12-15,Adj Close,101.90449523925781,SPY
2006-12-18,Adj Close,101.62529754638672,SPY
2006-12-19,Adj Close,101.81861114501953,SPY
2006-12-20,Adj Close,101.76133728027344,SPY
2006-12-21,Adj Close,101.38903045654297,SPY
2006-12-22,Adj Close,100.76619720458984,SPY
2006-12-26,Adj Close,101.36039733886719,SPY
2006-12-27,Adj Close,102.02622985839844,SPY
2006-12-28,Adj Close,101.81144714355469,SPY
2006-12-29,Adj Close,101.38903045654297,SPY
2007-01-03,Adj Close,101.21005249023438,SPY
2007-01-04,Adj Close,101.42486572265625,SPY
2007-01-05,Adj Close,100.61580657958984,SPY
2007-01-08,Adj Close,101.08123016357422,SPY
2007-01-09,Adj Close,100.99531555175781,SPY
2007-01-10,Adj Close,101.33180236816406,SPY
2007-01-11,Adj Close,101.7756576538086,SPY
2007-01-12,Adj Close,102.54884338378906,SPY
2007-01-16,Adj Close,102.34844207763672,SPY
2007-01-17,Adj Close,102.391357421875,SPY
2007-01-18,Adj Close,102.0477066040039,SPY
2007-01-19,Adj Close,102.2481689453125,SPY
2007-01-22,Adj Close,101.93316650390625,SPY
2007-01-23,Adj Close,102.23384094238281,SPY
2007-01-24,Adj Close,103.05713653564453,SPY
2007-01-25,Adj Close,101.8472671508789,SPY
2007-01-26,Adj Close,101.7541732788086,SPY
2007-01-29,Adj Close,101.69690704345703,SPY
2007-01-30,Adj Close,102.2267074584961,SPY
2007-01-31,Adj Close,102.9139175415039,SPY
2007-02-01,Adj Close,103.52967071533203,SPY
2007-02-02,Adj Close,103.6728515625,SPY
2007-02-05,Adj Close,103.70146942138672,SPY
2007-02-06,Adj Close,103.73014831542969,SPY
2007-02-07,Adj Close,103.95922088623047,SPY
2007-02-08,Adj Close,103.8232192993164,SPY
2007-02-09,Adj Close,103.04995727539062,SPY
2007-02-12,Adj Close,102.69921112060547,SPY
2007-02-13,Adj Close,103.56546020507812,SPY
2007-02-14,Adj Close,104.24560546875,SPY
2007-02-15,Adj Close,104.38163757324219,SPY
2007-02-16,Adj Close,104.33148956298828,SPY
2007-02-20,Adj Close,104.553466796875,SPY
2007-02-21,Adj Close,104.51046752929688,SPY
2007-02-22,Adj Close,104.43170166015625,SPY
2007-02-23,Adj Close,104.02366638183594,SPY
2007-02-26,Adj Close,103.93057250976562,SPY
2007-02-27,Adj Close,99.87129974365234,SPY
2007-02-28,Adj Close,100.89506530761719,SPY
2007-03-01,Adj Close,100.59439849853516,SPY
2007-03-02,Adj Close,99.27706909179688,SPY
2007-03-05,Adj Close,98.33203125,SPY
2007-03-06,Adj Close,100.01446533203125,SPY
2007-03-07,Adj Close,99.91426086425781,SPY
2007-03-08,Adj Close,100.75907135009766,SPY
2007-03-09,Adj Close,100.78764343261719,SPY
2007-03-12,Adj Close,100.93803405761719,SPY
2007-03-13,Adj Close,98.97640991210938,SPY
2007-03-14,Adj Close,99.71378326416016,SPY
2007-03-15,Adj Close,99.84982299804688,SPY
2007-03-16,Adj Close,99.57022094726562,SPY
2007-03-19,Adj Close,100.77051544189453,SPY
2007-03-20,Adj Close,101.32398223876953,SPY
2007-03-21,Adj Close,102.99154663085938,SPY
2007-03-22,Adj Close,102.91244506835938,SPY
2007-03-23,Adj Close,103.06340789794922,SPY
2007-03-26,Adj Close,102.9268798828125,SPY
2007-03-27,Adj Close,102.6824722290039,SPY
2007-03-28,Adj Close,101.93495178222656,SPY
2007-03-29,Adj Close,102.0427474975586,SPY
2007-03-30,Adj Close,102.06429290771484,SPY
2007-04-02,Adj Close,102.1793441772461,SPY
2007-04-03,Adj Close,103.27904510498047,SPY
2007-04-04,Adj Close,103.39403533935547,SPY
2007-04-05,Adj Close,103.67438507080078,SPY
2007-04-09,Adj Close,103.8181381225586,SPY
2007-04-10,Adj Close,103.9403076171875,SPY
2007-04-11,Adj Close,103.51624298095703,SPY
2007-04-12,Adj Close,103.97624969482422,SPY
2007-04-13,Adj Close,104.45064544677734,SPY
2007-04-16,Adj Close,105.44245910644531,SPY
2007-04-17,Adj Close,105.7228775024414,SPY
2007-04-18,Adj Close,105.85224151611328,SPY
2007-04-19,Adj Close,105.823486328125,SPY
2007-04-20,Adj Close,106.82254791259766,SPY
2007-04-23,Adj Close,106.4200439453125,SPY
2007-04-24,Adj Close,106.46316528320312,SPY
2007-04-25,Adj Close,107.4406509399414,SPY
2007-04-26,Adj Close,107.5628662109375,SPY
2007-04-27,Adj Close,107.47657775878906,SPY
2007-04-30,Adj Close,106.58528900146484,SPY
2007-05-01,Adj Close,106.85846710205078,SPY
2007-05-02,Adj Close,107.48380279541016,SPY
2007-05-03,Adj Close,108.06600952148438,SPY
2007-05-04,Adj Close,108.47567749023438,SPY
2007-05-07,Adj Close,108.49726104736328,SPY
2007-05-08,Adj Close,108.35350799560547,SPY
2007-05-09,Adj Close,108.648193359375,SPY
2007-05-10,Adj Close,107.51256561279297,SPY
2007-05-11,Adj Close,108.43257141113281,SPY
2007-05-14,Adj Close,108.19536590576172,SPY
2007-05-15,Adj Close,108.22412109375,SPY
2007-05-16,Adj Close,108.96444702148438,SPY
2007-05-17,Adj Close,108.74884033203125,SPY
2007-05-18,Adj Close,109.69758605957031,SPY
2007-05-21,Adj Close,109.64012145996094,SPY
2007-05-22,Adj Close,109.55384826660156,SPY
2007-05-23,Adj Close,109.56817626953125,SPY
2007-05-24,Adj Close,108.57630920410156,SPY
2007-05-25,Adj Close,109.02913665771484,SPY
2007-05-29,Adj Close,109.4244613647461,SPY
2007-05-30,Adj Close,110.31575775146484,SPY
2007-05-31,Adj Close,110.20077514648438,SPY
